Time,x,y,z,
2.655,-0.0002173,-0.0007481,-6.575e-05,
2.657,-0.0002173,-0.0007839,-7.403e-05,
2.67,-0.000207,-0.000863,-8.971e-05,
2.672,-7.543e-05,-0.0007059,-7.217e-05,
2.684,-7.725e-05,-0.0007818,-7.894e-05,
2.686,-8.606e-05,-0.000864,-8.51e-05,
2.7,-9.323e-05,-0.0009046,-9.128e-05,
2.702,-0.0001016,-0.000949,-9.672e-05,
2.716,-0.0003851,-0.0007097,-0.0001603,
2.72,-0.0003942,-0.0007487,-0.0001716,
2.731,-0.0004188,-0.0008313,-0.0001967,
2.734,-0.0004314,-0.0008763,-0.0002102,
2.748,-0.0006221,-0.0006318,-0.0001205,
2.751,-0.0006413,-0.0006673,-0.0001291,
2.763,-0.0006941,-0.0007857,-0.0001593,
2.765,-0.0003201,-0.0005792,-3.896e-05,
2.778,-0.0003091,-0.0006097,-4.022e-05,
2.794,-0.0002916,-0.000682,-4.319e-05,
2.796,-0.0002839,-0.0007213,-4.511e-05,
2.81,-0.0004822,-0.000493,-0.0001183,
2.813,-0.0004889,-0.0005159,-0.0001256,
2.824,-0.0004967,-0.0005728,-0.0001406,
2.826,-0.0005008,-0.0006046,-0.0001484,
2.839,-0.0005068,-0.0006703,-0.0001627,
2.841,-0.0003484,-0.0006551,-8.145e-05,
2.855,-0.0003527,-0.000737,-8.573e-05,
2.857,-0.0003598,-0.0008293,-9.141e-05,
2.869,-0.0003382,-0.0006368,-9.569e-05,
2.872,-0.0003387,-0.0006708,-9.884e-05,
2.884,-0.0003294,-0.0007527,-0.0001089,
2.886,-0.0003256,-0.0007952,-0.0001144,
2.9,-0.000317,-0.0008802,-0.0001258,
2.903,-5.944e-05,-0.0005578,-8.539e-05,
2.914,-2.776e-05,-0.0006352,-9.179e-05,
2.917,-1.221e-05,-0.0006761,-9.552e-05,
2.93,1.882e-05,-0.0007511,-0.0001048,
2.932,3.5e-05,-0.0007924,-0.0001104,
2.944,-2.361e-05,-0.0005835,-0.0001376,
2.947,2.058e-05,-0.0006681,-0.0001564,
2.959,4.268e-05,-0.0007042,-0.000165,
2.961,6.537e-05,-0.0007486,-0.0001744,
2.975,-0.0003921,-0.0005409,-0.000199,
2.977,-0.0004064,-0.0005813,-0.0002105,
2.992,-0.0004379,-0.0006802,-0.0002338,
2.994,-0.0004542,-0.0007204,-0.000243,
3.007,-0.0004096,-0.0005545,-0.0001058,
3.009,-0.0004036,-0.0005967,-0.0001075,
3.046,-0.0005158,-0.0003514,-0.0001103,
3.049,-0.0005222,-0.0003666,-0.0001148,
3.053,-0.0005382,-0.0003954,-0.0001254,
3.057,-0.0005461,-0.0004125,-0.0001314,
3.069,-0.0002864,-0.0004534,-7.435e-05,
3.072,-0.0002603,-0.0005292,-7.706e-05,
3.108,-0.0001204,-0.0003872,-7.376e-05,
3.11,-9.496e-05,-0.0004018,-7.719e-05,
3.13,2.989e-05,-0.0005501,-9.153e-05,
3.134,-0.0001877,-0.0004823,-0.0001162,
